matriz,dimensao,id,criterio,classe
COMUM,Informações Prioritárias,1.1,Possui sítio oficial próprio na internet?,Essencial
COMUM,Informações Prioritárias,1.2,Possui portal da transparência próprio ou compartilhado na internet?,Essencial
COMUM,Informações Prioritárias,1.3,O acesso ao portal transparência está visível na capa do site?,Obrigatória
COMUM,Informações Prioritárias,1.4,O site e o portal de transparência contêm ferramenta de pesquisa de conteúdo que permita o acesso à informação?,Obrigatória
COMUM,Informações Institucionais,2.1,Divulga a sua estrutura organizacional e a norma que a institui/altera?,Obrigatória
COMUM,Informações Institucionais,2.2,Divulga competências e/ou atribuições?,Obrigatória
COMUM,Informações Institucionais,2.3,Identifica o nome dos atuais responsáveis pela gestão do Poder/Órgão?,Obrigatória
COMUM,Informações Institucionais,2.4,Divulga os endereços e telefones atuais do Poder ou órgão e e-mails institucionais?,Obrigatória
COMUM,Informações Institucionais,2.5,Divulga o horário de atendimento?,Obrigatória
COMUM,Informações Institucionais,2.6,Divulga os atos normativos próprios?,Obrigatória
COMUM,Informações Institucionais,2.7,Divulga as perguntas e respostas mais frequentes relacionadas às atividades desenvolvidas pelo Poder/Órgão?,Obrigatória
COMUM,Informações Institucionais,2.8,"Participa em redes sociais e apresenta, no seu sítio institucional, link de acesso ao seu perfil?",Recomendada
COMUM,Informações Institucionais,2.9,Inclui botão do Radar da Transparência Pública no site institucional ou portal transparência?,Recomendada
COMUM (EXCETO ESTATAIS INDEPENDENTES),Receita,3.1,"Divulga as receitas do Poder ou órgão, evidenciando sua previsão e realização?",Essencial
EXECUTIVO,Receita,3.2,"Divulga a classificação orçamentária por natureza da receita (categoria econômica, origem, espécie, desdobramento)?",Essencial
EXECUTIVO,Receita,3.3,"Divulga a lista dos inscritos em dívida ativa, contendo, no mínimo, dados referentes ao nome do inscrito e o valor total da dívida?",Obrigatória
COMUM (EXCETO ESTATAIS INDEPENDENTES),Despesa,4.1,"Divulga o total das despesas empenhadas, liquidadas e pagas?",Essencial
COMUM (EXCETO ESTATAIS INDEPENDENTES),Despesa,4.2,Divulga as despesas por classificação orçamentária?,Essencial
COMUM (EXCETO ESTATAIS INDEPENDENTES),Despesa,4.3,"Possibilita a consulta de empenhos com os detalhes do beneficiário do pagamento ou credor, o valor, o bem fornecido ou serviço prestado e a identificação do procedimento licitatório originário da despesa?",Essencial
ESTATAIS,Despesa,4.4,"Publica relação das despesas com aquisições de bens efetuadas pela instituição contendo: identificação do bem, preço unitário, quantidade, nome do fornecedor e valor total de cada aquisição?",Recomendada
ESTATAIS,Despesa,4.5,Publica informações sobre despesas de patrocínio?,Recomendada
ESTATAIS,Despesa,4.6,"Publica informações detalhadas sobre a execução dos contratos de publicidade, com nomes dos fornecedores de serviços especializados e veículos, bem como informações sobre os totais de valores pagos para cada tipo de serviço e meio de divulgação?",Recomendada
COMUM,Convênios e Transferências,5.1,"Divulga as transferências recebidas a partir da celebração de convênios/acordos com indicação, no mínimo, do número/ano do convênio/termo ou ajuste, do valor total previsto dos recursos envolvidos, do valor recebido, do objeto, da vigência, da origem (órgão repassador/concedente) e o inteiro teor do instrumento de convênio/transferência?",Obrigatória
COMUM,Convênios e Transferências,5.2,"Divulga as transferências realizadas a partir da celebração de convênios/acordos/ajustes, com indicação, no mínimo, do número/ano do convênio/termo ou ajuste, do beneficiário, do objeto, da vigência, do valor total previsto para repasse, do valor concedido e inteiro teor do instrumento de convênio/termo ou ajuste?",Obrigatória
COMUM,Convênios e Transferências,5.3,"Divulga os acordos firmados que não envolvam transferência de recursos financeiros, identificando as partes, o número/ano do convênio/termo ou ajuste, o objeto, a vigência, as obrigações ajustadas e o inteiro teor do instrumento de convênio/termo ou ajuste?",Obrigatória
COMUM,Recursos Humanos,6.1,"Divulga a relação nominal dos servidores/autoridades/membros, seus cargos/funções, as respectivas lotações, as suas datas de admissão/exoneração/inativação e a carga horária do cargo/função ocupada/desempenhada?",Obrigatória
COMUM,Recursos Humanos,6.2,Divulga a remuneração nominal de cada servidor/autoridade/Membro?,Obrigatória
COMUM,Recursos Humanos,6.3,Divulga a tabela com o padrão remuneratório dos cargos e funções?,Obrigatória
